name,author,types,popularity,
中国惊奇先生,权迎升,灵异,238.4亿,
19天,幕星社 x old先,脑洞,180.5亿,
请与我同眠,鱼刺,职场,15.9亿,
入幕之臣,白日萌研究中心,古风,15.9亿,
万人之上,博易动漫 x 博易小助手,系统,5.4亿,
甜甜的网恋翻车,岛上Project,电竞,67.3亿,
一分为二的遗产,白夜漫画工作室,职场,3.7亿,
开局就有王者账,仁山动漫,系统,28.6亿,
一人之下,动漫堂 x 米二,战斗,253.3亿,
武炼巅峰,噼咔噼 x PIKAPI运营 阿楝,古风,69.1亿,
双王,唐不醒 x 言且歌,娱乐圈,29.2亿,
徒谋不轨,沉乡 x 西溪,古风,1.4亿,
被困百万年：弟,三界动画,重生,8627.4万,
请君入卦,潇湘骨 x 绛梵 x 翻翻动漫,职场,3.9亿,
史上第一祖师爷,噼咔噼 x 阅文漫画,古风,6757.8万,
六亲不认,吃饱饭工厂 x 喵喵铃 x 木火然,古风,39.6亿,
我有五个大佬爸,阅文漫画 x 箫勺映画,大女主,6.2亿,
不健全关系,灯萨 x 栖砚,推理,84.9亿,
就咬一口，球球,岛上Project,职场,6142.4万,
娇夫有喜,拂晓联盟 x Morel x 扶摇文化,古风,4.3亿,
我为邪帝,时代漫王,系统,143亿,
循循善诱,空吉士社 x 赵有猫fiya,古风,28.6亿,
我有一座末世地,沃尔血蹄,系统,3.9亿,
斗罗大陆,风炫文化,古风,60.2亿,
我捡起了一地属,刺猬猫漫画,穿越,94亿,
解锁末世的99,两只猫先生,系统,20.2亿,
万渣朝凰,时代漫王,复仇,247亿,
修仙者大战超能,若鸿文化,古风,18.8亿,
牧龙师,阅文漫画 x 优时文化,战斗,2.4亿,
神宠进化,阅文漫画 x 爬爬社,末日,1.4亿,
大象无形,番奇动漫,灵异,51.4亿,
宦妃天下,乖小兽漫画,大女主,36.2亿,
炼气练了三千年,刺猬猫漫画,古风,98.2亿,
重回末世当大佬,蔷薇事务所,重生,46亿,
斗罗大陆4终极,神漫君 x BartD,战斗,77.8亿,
不早朝,之臻 x 白熊道耳,古风,16.4亿,
绝对掌控,青玉Gaffey,复仇,50.9亿,
星灵暗帝,崔世鹏/川夜,重生,23.9亿,
我是大神仙,盛世卡漫 x MAX小望,古风,95.6亿,
开局签到至尊丹,三界动画,系统,4.9亿,
身为首富的我真,【月天】 x Moran x xy。,重生,14.1亿,
斗破苍穹,知音漫客 x 任翔,古风,186.4亿,
我非等闲之辈,吃饱饭工厂 x 媛酱Madoka x 某仙,古风,1.6亿,
开局一座山,VV,穿越,18.3亿,
从姑获鸟开始,之画文化 x 阅文漫画,穿越,4.2亿,
徒弟都是女魔头,插电动漫,古风,5.3亿,
大王饶命,阅动文化 x 小鱼的蝴蝶结 x 肘子,系统,108.1亿,
反派魔女自救计,火星动漫,大女主,8.2亿,
一骗丹心,阿豁,古风,5.5亿,
这个王爷他克妻,优时文化,古风,6.2亿,
狼狼上口,毛啾啾 x 翻翻动漫,职场,5859.8万,
地球尽头,七度魚,末日,9.7亿,
万相之王,未天文化,战斗,1763.9万,
全职法师,阅文漫画,穿越,53.8亿,
俘虏百分百,星空社,穿越,6亿,
又被男神撩上热,iCiyuan动漫 x 箫勺映画,总裁,10.5亿,
快穿之顶级反派,漫神共创 x 共小创,古风,2亿,
被迫成为反派赘,优时文化,重生,26.4亿,
大佬的心肝穿回,阅文漫画 x 青玉Gaffey,穿越,1亿,
直播：女神家的,创迹文化,穿越,1.6亿,
本婿修的是贱道,博易动漫 x 博易小助手,重生,20.8亿,
驭灵师,时代漫王,穿越,67亿,
反派女爵的逆袭,大行道动漫,大女主,6026.4万,
最强反套路系统,初樱社 x 猪皮,穿越,44.1亿,
熠华录,再见了阿骚明天我就要出发,古风,5.9亿,
荒诞费洛蒙,吃饱饭工厂 x 似柚 x 松入风漫画工作室,复仇,3.4亿,
女装大佬今天也,仔仔+鸽哥 x 仔仔 x 鸽哥,重生,11.6亿,
成为王的男人,崇卓漫画,古风,1亿,
斗罗大陆 II,神漫君,战斗,14.2亿,
假装自己天下无,零姬nalo x 零创世动漫&超维空间 x 超维空间工作室,古风,9072.4万,
咬人是不对的,怪化猫工作室 x Read,系统,1.8亿,
我在异界的弑神,Neoman,系统,1.6亿,
传武,gk工坊 x Blacksad黑猫,古风,143.5亿,
戏精的强制报恩,小熊硬糖 x 吼吼溅,总裁,7927.3万,
重生之神级败家,阅文漫画,穿越,1.3亿,
狩受不亲之引狼,沉乡 x 西溪,妖怪,5560.7万,
传说中的恶役公,聚睿文化,大女主,6.5亿,
囚龙,比格熊,古风,7616.3万,
王牌御史,☆佟遥☆,脑洞,209.9亿,
星夜,庄宁,职场,9.2亿,
史上最强男主角,若鸿文化,穿越,2.5亿,
超神制卡师,阅文漫画 x 初格文化,穿越,8765万,
重生之都市修仙,大行道动漫 x 北玄,修仙,53.3亿,
卵之毒，血之药,狮心＆木白 x 下一山 x 良之著,复仇,1.2亿,
我在末世搬金砖,拾部君,穿越,46亿,
我只想被各位打,刺猬猫漫画,穿越,2690.4万,
捡了东西的狼,幕星社 x 麻尾,脑洞,4.1亿,
我从诸天万界归,三界动画,古风,5.5亿,
我布局了万族时,三清鸟漫画,重生,2.6亿,
周成一的初恋过,布布星球 x 依離歌,总裁,17.3亿,
我靠大佬稳住男,阅文漫画 x 郑九川,大女主,2.6亿,
当影后不如念清,拂晓联盟 x 君九如 x 扶摇文化,重生,21.3亿,
三寸人间,Λ-SOUL官方,战斗,1.3亿,
敖敖待捕,药药 x 药,神仙,148.3亿,
从认真玩游戏开,路人甘,重生,6.1亿,
一皇九攻十二妻,芝士 x 蛋蛋总,神仙,7.7亿,
我的后宫靠抽卡,空吉士社,穿越,34.5亿,
