制造商型号,厂家,描述,库存数量,批号,起订量,香港(美金),单价含税(13%),货期,操作
RC0402FR-07240RL,Yageo,RES SMD 240 OHM 1% 1/16W 0402,5082,16,1+  10+  100+  250+  500+,-,¥0.0291  ¥0.0139  ¥0.0079  ¥0.0041  ¥0.0020,1-3个工作日,购买
RC0603JR-073K3L,Yageo,RES SMD 3.3K OHM 5% 1/10W 0603,4600,15/16,1+  10+  100+  250+  500+,-,¥0.0457  ¥0.0215  ¥0.0099  ¥0.0047  ¥0.0023,1-3个工作日,购买
RC0805JR-073K9L,Yageo,RES SMD 3.9K OHM 5% 1/8W 0805,4500,16+,1+  10+  100+  250+  500+,-,¥0.0640  ¥0.0296  ¥0.0144  ¥0.0070  ¥0.0039,1-3个工作日,购买
RC0805JR-07390RL,Yageo,RES SMD 390 OHM 5% 1/8W 0805,4500,16+,1+  10+  100+  250+  500+,-,¥0.0414  ¥0.0240  ¥0.0123  ¥0.0067  ¥0.0039,1-3个工作日,购买
RC0805JR-072K2L,Yageo,RES SMD 2.2K OHM 5% 1/8W 0805,4500,15/16,1+  10+  100+  250+  500+,-,¥0.0580  ¥0.0283  ¥0.0151  ¥0.0079  ¥0.0038,1-3个工作日,购买
RC0805JR-0722KL,Yageo,RES SMD 22K OHM 5% 1/8W 0805,4400,15/16,1+  10+  100+  250+  500+,-,¥0.0507  ¥0.0284  ¥0.0135  ¥0.0071  ¥0.0038,1-3个工作日,购买
RC0603FR-0715KL,Yageo,RES SMD 15K OHM 1% 1/10W 0603,3900,15/16,1+  10+  100+  250+  500+,-,¥0.0373  ¥0.0203  ¥0.0095  ¥0.0052  ¥0.0027,1-3个工作日,购买
RC0402JR-071ML,Yageo,RES SMD 1M OHM 5% 1/16W 0402,3600,15/16,1+  10+  100+  250+  500+,-,¥0.0176  ¥0.0099  ¥0.0054  ¥0.0026  ¥0.0014,1-3个工作日,购买
RC0603JR-07330RL,Yageo,RES SMD 330 OHM 5% 1/10W 0603,3500,16,1+  10+  100+  250+  500+,-,¥0.0384  ¥0.0184  ¥0.0091  ¥0.0049  ¥0.0023,1-3个工作日,购买
RC0805JR-0722RL,Yageo,RES SMD 22 OHM 5% 1/8W 0805,3450,15/16,1+  10+  100+  250+  500+,-,¥0.0487  ¥0.0248  ¥0.0142  ¥0.0068  ¥0.0038,1-3个工作日,购买
RC0603JR-07510RL,Yageo,RES SMD 510 OHM 5% 1/10W 0603,3200,16+,1+  10+  100+  250+  500+,-,¥0.0297  ¥0.0169  ¥0.0086  ¥0.0040  ¥0.0022,1-3个工作日,购买
RC0603JR-0710RL,Yageo,RES SMD 10 OHM 5% 1/10W 0603,2972,16,1+  10+  100+  250+  500+,-,¥0.0300  ¥0.0146  ¥0.0084  ¥0.0046  ¥0.0023,1-3个工作日,购买
RC0805JR-07470RL,Yageo,RES SMD 470 OHM 5% 1/8W 0805,1990,15/16,1+  10+  100+  250+  500+,-,¥0.0428  ¥0.0231  ¥0.0130  ¥0.0069  ¥0.0038,1-3个工作日,购买
MC74VHC1G00DFT1G,ON,IC GATE NAND 1CH 2-INP SC-70,1237,17+,1+  10+  100+  500+  1000+,-,¥0.2440  ¥0.2197  ¥0.2017  ¥0.1852  ¥0.1673,1-3个工作日,购买
RC1206JR-07510KL,Yageo,RES SMD 510K OHM 5% 1/4W 1206,995,15/16,1+  10+  100+  250+  500+,-,¥0.1047  ¥0.0533  ¥0.0247  ¥0.0126  ¥0.0069,1-3个工作日,购买
RC0603JR-07510RL,Yageo,RES SMD 510 OHM 5% 1/10W 0603,800,15/16,1+  10+  100+  250+  500+,-,¥0.0257  ¥0.0145  ¥0.0071  ¥0.0041  ¥0.0022,1-3个工作日,购买
BCR400WH6327XTSA1,Infineon,,685,1621,1+  10+  100+  500+  1000+,-,¥0.7646  ¥0.6989  ¥0.6367  ¥0.5762  ¥0.5190,1-3个工作日,购买
RC0603JR-074K7L,Yageo,RES SMD 4.7K OHM 5% 1/10W 0603,400,16,1+  10+  100+  250+  500+,-,¥0.0302  ¥0.0156  ¥0.0091  ¥0.0044  ¥0.0023,1-3个工作日,购买
MC74AC273DWR2G,ON,IC D-TYPE POS TRG SNGL 20SOIC,152,17+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0943  ¥1.9537  ¥1.8270  ¥1.7129  ¥1.5984  ¥1.4933  ¥1.3895,1-3个工作日,购买
MC74LCX16245DTG,ON,IC TXRX 16BIT NONINV LV 48-TSSOP,118,2年内,1+  10+  25+  50+  100+  250+  500+,-,¥3.5048  ¥3.2623  ¥3.0511  ¥2.8629  ¥2.6741  ¥2.5112  ¥2.3540,1-3个工作日,购买
MC34063AP1G,ON,IC REG BUCK BOOST INV ADJ 8DIP,100,2012+,1+  10+  25+  50+  100+  250+  500+,-,¥1.9263  ¥1.8084  ¥1.6945  ¥1.5894  ¥1.4846  ¥1.3915  ¥1.2995,1-3个工作日,购买
MC34063AP1G,ON,IC REG BUCK BOOST INV ADJ 8DIP,100,12+,1+  10+  25+  50+  100+  250+  500+,-,¥1.9241  ¥1.8007  ¥1.6780  ¥1.5689  ¥1.4625  ¥1.3686  ¥1.2769,1-3个工作日,购买
NCV7356D1R2G,ON,IC TXRX CAN SGL WIRE 8-SOIC,98,17+,1+  10+  25+  50+  100+  250+  500+,-,¥5.9373  ¥5.5547  ¥5.1756  ¥4.8172  ¥4.5144  ¥4.2256  ¥3.9550,1-3个工作日,购买
MC34063AP1G,ON,IC REG BUCK BOOST INV ADJ 8DIP,50,12+,1+  10+  25+  50+  100+  250+  500+,-,¥2.1978  ¥2.0475  ¥1.9124  ¥1.7811  ¥1.6732  ¥1.5714  ¥1.4690,1-3个工作日,购买
LM317BTG,ON,IC REG LDO ADJ 1.5A TO220AB,46,1736+,1+  10+  25+  50+  100+  250+  500+,-,¥2.0135  ¥1.8762  ¥1.7506  ¥1.6284  ¥1.5147  ¥1.4100  ¥1.3221,1-3个工作日,购买
IR2101STRPBF,Infineon,IC DRIVER HIGH/LOW SIDE 8SOIC,15,17,1+  10+  25+  50+  100+  250+  500+,-,¥3.5281  ¥3.3061  ¥3.0929  ¥2.8867  ¥2.6907  ¥2.5280  ¥2.3730,1-3个工作日,购买
RC0603JR-07100KL,Yageo,RES SMD 100K OHM 5% 1/10W 0603,15,15/16,1+  10+  100+  250+  500+,-,¥0.0314  ¥0.0174  ¥0.0089  ¥0.0044  ¥0.0023,1-3个工作日,购买
MC74LCX16245DTG,ON,IC TXRX 16BIT NONINV LV 48-TSSOP,14,2年内,1+  10+  25+  50+  100+  250+  500+,-,¥4.1515  ¥3.8792  ¥3.6225  ¥3.3919  ¥3.1677  ¥2.9522  ¥2.7685,1-3个工作日,购买
BTS4880RAUMA1,Infineon,,12,a,1+  10+  50+  100+  500+  1000+,-,¥50.7420  ¥48.3246  ¥45.9453  ¥43.7929  ¥41.6272  ¥39.7092,1-3个工作日,购买
NB3N3002DTG,ON,IC CLK GEN XTAL-HCSL 16-TSSOP,10,A,1+  10+  50+  100+  500+  1000+,-,¥24.3623  ¥23.3520  ¥22.2221  ¥21.2605  ¥20.2429  ¥19.3953,1-3个工作日,购买
RC0402JR-070RL,Yageo,RES SMD 0.0 OHM JUMPER 1/16W,5,15/16,1+  10+  100+  250+  500+,-,¥0.0190  ¥0.0109  ¥0.0062  ¥0.0029  ¥0.0014,1-3个工作日,购买
AP2280-1WG-7,DIODES,IC LOAD SW CTRL 1CH SOT-25,4,a,1+  10+  25+  50+  100+  250+  500+,-,¥4.3267  ¥4.0376  ¥3.7884  ¥3.5463  ¥3.3187  ¥3.0960  ¥2.9041,1-3个工作日,购买
LM2931CTG,ON,IC REG LDO ADJ 0.1A TO220-5,3,.,1+  10+  25+  50+  100+  250+  500+,-,¥5.1497  ¥4.8370  ¥4.5177  ¥4.2066  ¥3.9455  ¥3.6851  ¥3.4345,1-3个工作日,购买
