制造商型号,厂家,描述,库存数量,批号,起订量,香港(美金),单价含税(13%),货期,操作
TC0550F1503T5G,UniOhm,,7550000,18+,5000+,-,¥0.0226,1-3个工作日,购买
0402WGJ0102TCE,UniOhm,,6520000,18,10000+,-,¥0.0013,1-3个工作日,购买
0603WAJ0222T5E,UniOhm,,6495000,17+,5000+,-,¥0.0025,1-3个工作日,购买
0402WGF1001TCE,UniOhm,,6020000,18+,10000+,-,¥0.0017,1-3个工作日,购买
1206W4J0330T5E,UniOhm,,5440000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0402WGF470KTCE,UniOhm,,5000000,17+,10000+,-,¥0.0027,1-3个工作日,购买
0402WGF470KTCE,UniOhm,,5000000,17+,10000+,-,¥0.0027,1-3个工作日,购买
0402WGF470KTCE,UniOhm,,5000000,17+,10000+,-,¥0.0027,1-3个工作日,购买
0402WGF470KTCE,UniOhm,,5000000,17+,10000+,-,¥0.0027,1-3个工作日,购买
0402WGF470KTCE,UniOhm,0402 1/16W ±400PPM 4.7RΩ ±1% 50V -55℃~+155℃,4820000,18+,10000+,-,¥0.0027,1-3个工作日,购买
0603WAJ0104T5E,UniOhm,0603 1/10W ±100PPM 100KΩ ±5% 75V -55℃~+155℃,4800000,18+,5000+,-,¥0.0025,1-3个工作日,购买
0805W8J0103T5E,UniOhm,0805 1/8W ±100PPM 10KΩ ±5% 150V -55℃~+155℃,4800000,18+,5000+,-,¥0.0043,1-3个工作日,购买
0805W8J0104T5E,UniOhm,,4700000,18+,5000+,-,¥0.0043,1-3个工作日,购买
0805W8J0301T5E,UniOhm,,4595000,A,5000+,-,¥0.0043,1-3个工作日,购买
0805W8J0472T5E,UniOhm,,3850000,18+,5000+,-,¥0.0043,1-3个工作日,购买
1206W4J0273T5E,UniOhm,,3600000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0805W8J0683T5E,UniOhm,,3480000,18+,5000+,-,¥0.0043,1-3个工作日,购买
1206W4F150KT5E,UniOhm,,3200000,18+,5000+,-,¥0.0103,1-3个工作日,购买
1206W4J0105T5E,UniOhm,,3160000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0402WGF1001TCE,UniOhm,,3010000,18+,10000+,-,¥0.0017,1-3个工作日,购买
0805W8J0102T5E,UniOhm,,2930000,18+,5000+,-,¥0.0043,1-3个工作日,购买
0805W8J0102T5E,UniOhm,,2890000,17+,5000+,-,¥0.0043,1-3个工作日,购买
0805W8J0393T5E,UniOhm,,2795000,A,5000+,-,¥0.0043,1-3个工作日,购买
0603WAJ0202T5E,UniOhm,,2770000,18+,5000+,-,¥0.0025,1-3个工作日,购买
0603WAJ0202T5E,UniOhm,,2735000,A,5000+,-,¥0.0025,1-3个工作日,购买
0603WAF6800T5E,UniOhm,,2660000,18+,5000+,-,¥0.0030,1-3个工作日,购买
0603WAJ0103T5E,UniOhm,,2625000,18+,5000+,-,¥0.0025,1-3个工作日,购买
0402WGJ0101TCE,UniOhm,,2600000,18+,10000+,-,¥0.0013,1-3个工作日,购买
1206W4J0512T5E,UniOhm,,2530000,A,5000+,-,¥0.0069,1-3个工作日,购买
1206W4J0512T5E,UniOhm,,2510000,A,5000+,-,¥0.0069,1-3个工作日,购买
0603WAF1002T5E,UniOhm,,2505000,18+,5000+,-,¥0.0030,1-3个工作日,购买
1206W4J0512T5E,UniOhm,,2400000,18+,5000+,-,¥0.0069,1-3个工作日,购买
1206W4J0302T5E,UniOhm,,2370000,A,5000+,-,¥0.0069,1-3个工作日,购买
0603WAJ0825T5E,UniOhm,,2355000,18+,5000+,-,¥0.0025,1-3个工作日,购买
0603WAJ0825T5E,UniOhm,,2340000,18+,5000+,-,¥0.0025,1-3个工作日,购买
1206W4J0912T5E,UniOhm,,2295000,A,5000+,-,¥0.0069,1-3个工作日,购买
1206W4J0912T5E,UniOhm,,2295000,A,5000+,-,¥0.0069,1-3个工作日,购买
1206W4J0302T5E,UniOhm,,2290000,A,5000+,-,¥0.0069,1-3个工作日,购买
1206W4J0512T5E,UniOhm,,2275000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0805W8F4701T5E,UniOhm,0805 1/8W ±100PPM 4.7KΩ ±1% 150V -55℃~+155℃,2270000,18+,5000+,-,¥0.0051,1-3个工作日,购买
0805W8F4701T5E,UniOhm,,2265000,18+,5000+,-,¥0.0051,1-3个工作日,购买
1206W4J0622T5E,UniOhm,,2250000,18+,5000+,-,¥0.0069,1-3个工作日,购买
1206W4J0622T5E,UniOhm,,2235000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0603WAF1003T5E,UniOhm,0603 1/10W ±100PPM 100KΩ ±1% 75V -55℃~+155℃,2235000,18+,5000+,-,¥0.0030,1-3个工作日,购买
1206W4F150KT5E,UniOhm,,2220000,18+,5000+,-,¥0.0103,1-3个工作日,购买
0805W8F750JT5E,UniOhm,,2210000,17+,5000+,-,¥0.0051,1-3个工作日,购买
0805W8J0560T5E,UniOhm,,2200000,A,5000+,-,¥0.0043,1-3个工作日,购买
0805W8J0560T5E,UniOhm,,2200000,A,5000+,-,¥0.0043,1-3个工作日,购买
1206W4F150KT5E,UniOhm,,2155000,18+,5000+,-,¥0.0103,1-3个工作日,购买
1206W4F150KT5E,UniOhm,,2125000,18+,5000+,-,¥0.0103,1-3个工作日,购买
1206W4J0154T5E,UniOhm,,2110000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0805W8J0512T5E,UniOhm,,2105000,18+,5000+,-,¥0.0043,1-3个工作日,购买
1206W4J0752T5E,UniOhm,,2100000,18+,5000+,-,¥0.0069,1-3个工作日,购买
1206W4J0514T5E,UniOhm,,2065000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0805W8J0683T5E,UniOhm,,2040000,A,5000+,-,¥0.0043,1-3个工作日,购买
0805W8J0683T5E,UniOhm,,2040000,A,5000+,-,¥0.0043,1-3个工作日,购买
0402WGJ0101TCE,UniOhm,,2020000,18+,10000+,-,¥0.0013,1-3个工作日,购买
1206W4F100KT5E,UniOhm,,2000000,18+,5000+,-,¥0.0103,1-3个工作日,购买
1206W4F100KT5E,UniOhm,,2000000,18+,5000+,-,¥0.0103,1-3个工作日,购买
1206W4J0104T5E,UniOhm,,2000000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0805W8F1001T5E,UniOhm,0805 1/8W ±100PPM 1KΩ ±1% 150V -55℃~+155℃,2000000,18+,5000+,-,¥0.0051,1-3个工作日,购买
0603WAJ0513T5E,UniOhm,,2000000,18+,5000+,-,¥0.0025,1-3个工作日,购买
0805W8J0000T5E,UniOhm,,2000000,17+,5000+,-,¥0.0043,1-3个工作日,购买
0805W8J0000T5E,UniOhm,,1980000,18+,5000+,-,¥0.0043,1-3个工作日,购买
0603WAF1001T5E,UniOhm,0603 1/10W ±100PPM 1KΩ ±1% 75V -55℃~+155℃,1980000,18+,5000+,-,¥0.0030,1-3个工作日,购买
1206W4J0752T5E,UniOhm,,1955000,18+,5000+,-,¥0.0069,1-3个工作日,购买
1206W4F100KT5E,UniOhm,,1900000,18+,5000+,-,¥0.0103,1-3个工作日,购买
0805W8J0000T5E,UniOhm,,1895000,A,5000+,-,¥0.0043,1-3个工作日,购买
0603WAJ0000T5E,UniOhm,,1855000,18+,5000+,-,¥0.0025,1-3个工作日,购买
0603WAJ0203T5E,UniOhm,,1855000,18+,5000+,-,¥0.0025,1-3个工作日,购买
0402WGF470KTCE,UniOhm,0402 1/16W ±400PPM 4.7RΩ ±1% 50V -55℃~+155℃,1830000,18+,10000+,-,¥0.0027,1-3个工作日,购买
1206W4J0754T5E,UniOhm,,1815000,18+,5000+,-,¥0.0069,1-3个工作日,购买
0805W8J0125T5E,UniOhm,,1815000,18+,5000+,-,¥0.0043,1-3个工作日,购买
