店名	星级	评论数	关键词	地址	人均消费
老渝城正宗重庆老火锅（川沙百联店）	5.0	251	浦东新区	浦东新区川沙路5398号百联川沙购物中心3楼（中庭观光电梯）	116.0
重庆高老九火锅（南京东路店）	3.9	3374	人民广场/南京路	黄浦区九江路399号华盛大厦2楼（近上海置地广场，地铁2号线南京东路站4号出口）	107.0
重庆高老九火锅（徐家汇店）	4.3	2079	万体馆	徐汇区天钥桥路386号3楼（腾飞大厦对面）	120.0
重庆高老九火锅（汇智国际商业中心店）	4.4	163	张江	浦东新区金科路3057号汇智国际商业中心3层	116.0
渝利火锅（开元地中海店）	3.6	5927	新松江路	松江区新松江路927弄开元地中海商业广场4层	100.0
重庆巴王府火锅	5.0	1516	百联中环/绿洲中环	普陀区梅川路1528号（万镇路与梅川路交口、梅川路步行街口）	80.0
捌界创意海鲜火锅	4.5	0	世纪公园	浦东新区梅花路1108号1MF（喜玛拉雅酒店内）	0.0
洞子张老匠火锅（桂林路店）	3.6	3663	漕河泾/田林	徐汇区桂林路400号（农业银行旁）	92.0
四川香天下火锅（陆家嘴店）	5.0	3547	陆家嘴	浦东新区浦东大道1108号（近桃林路）	120.0
巴顿火锅（泗泾店）	4.9	1319	泗泾镇	松江区横港公路40号三湘商业广场1层	74.0
洞子张老匠火锅（金陵东路店）	4.2	4538	淮海路/陕西南路	黄浦区金陵东路569号汇都国际广场3楼洞子张（近西藏南路,8号线大世界2号口马路对面）	97.0
米亭味自慢料理（丁香国际店）	5.0	0	世纪公园	浦东新区丁香路858号丁香国际商业中心西塔3层L308	399.0
重庆高老九火锅（打浦桥店）	4.2	1590	打浦桥	黄浦区徐家汇路550号宝鼎大厦2楼（9号线打浦桥站2号出口左转100米）	118.0
渝利火锅（打浦日月光店）	4.4	93	日月光中心广场	黄浦区徐家汇路618号（日月光中心4F-TK08室）	115.0
四川香天下火锅（延安西路店）	4.4	1853	中山公园/江苏路	长宁区延安西路1209号（近番禺路）	118.0
洞子张老匠火锅（浦东店）	3.9	3522	陆家嘴	浦东新区浦东南路1085号华申大厦3楼（近新梅广场）	98.0
重庆熬家老火锅（星星堂店）	4.1	290	临平路/邮电新村	虹口区天宝路280弄星星堂B1层	98.0
四川香天下火锅（松江店）	4.0	4608	松江区	松江区乐都路301号松江文化综合大楼3楼（全季酒店楼下，人民北路路口）	99.0
四川香天下火锅（南桥百联店）	3.4	2831	南桥百联购物中心	奉贤区南桥镇百顺路228弄13栋111号	99.0
洋房火锅（新天地店）	5.0	523	新天地/马当路	黄浦区黄陂南路376号新天地南里（近兴业路）	818.0
渝利火锅（长泰广场店）	4.2	1755	张江	浦东新区祖冲之路1239弄5号长泰广场6座3楼	108.0
牛叉潮汕牛肉火锅（江桥海波路店）	4.0	7	虹桥火车站/江桥	嘉定区海波路596-600号，嘉涌路99弄3号104、107二层	95.0
重庆高老九火锅（嘉定华润万家店）	4.1	438	嘉定镇	嘉定区胜竹路2188号华润万家一楼129单元	97.0
渝利火锅（96广场店）	3.9	1717	八佰伴	浦东新区东方路796号96广场2楼（世纪大道地铁站，近张杨路）	104.0
大龙燚火锅（梅川路店）	5.0	12	百联中环/绿洲中环	普陀区梅川路1382-1386号1楼（祥和博物馆对面）	127.0
古炉火锅·老成都（金桥店）	4.1	277	金桥	浦东新区金桥镇金高路1757号二楼	106.0
蜀大侠火锅（松江店）	4.0	5	松江万达广场	松江区光星路1599弄（中展璞荟广场1楼68号）	134.0
洞子张老匠火锅（三号湾广场店）	3.9	3577	五角场/大学区	杨浦区国定路333号三号湾广场2层（85°C楼上）	97.0
小辉哥火锅（松江地中海店）	4.3	11076	新松江路	松江区新松江路925弄、927弄开元地中海商业广场二层2001B、2002A	107.0
重庆高老九火锅（金杨第一商城店）	3.8	118	金桥	浦东新区金杨路618号金杨第一商城3层	107.0
大龙燚火锅（浦东食品城店）	4.1	67	陆家嘴	浦东新区张杨路601号浦东食品城4楼	123.0
牛叉潮汕牛肉火锅（南翔店）	4.4	174	南翔	嘉定区槎溪路858号世盟壹天地1楼	87.0
四川香天下火锅（周浦店）	3.9	223	迪士尼	浦东新区康沈路1588号	116.0
洞子张老匠火锅（嘉杰国际商业广场店）	3.9	2546	四川北路/海伦路	虹口区四川北路1727弄嘉杰国际商业广场5层	94.0
