0.9464, 2.64%, 0.9464, 指数型-股票, 高风险， 2.25亿元（2021-12-31）, 罗文杰, 2017-08-24, 南方基金, , 中证全指房地产指数  , 0.11%
0.9291, 2.63%, 0.9291, 指数型-股票, 高风险， 2.65亿元（2021-12-31）, 罗文杰, 2017-08-24, 南方基金, , 中证全指房地产指数  , 0.11%
0.9292, 2.64%, 0.9292, 指数型-股票, 高风险， 0.26亿元（2021-12-31）, 罗文杰, 2020-12-18, 南方基金, , 中证全指房地产指数  , 0.11%
1.1081, 2.43%, 1.1081, 指数型-股票, 高风险， 0.57亿元（2021-12-31）, 李俊, 2019-11-28, 华夏基金, , 中证全指房地产指数  , 0.24%
1.1004, 2.43%, 1.1004, 指数型-股票, 高风险， 0.49亿元（2021-12-31）, 李俊, 2019-11-28, 华夏基金, , 中证全指房地产指数  , 0.24%
1.1750, 2.35%, 1.8480, 指数型-股票, 高风险， 3.76亿元（2021-12-31）, 闫冬, 2014-09-12, 鹏华基金, , 中证800地产指数  , 0.18%
1.2115, -2.15%, 1.2115, 指数型-股票, 高风险， 8.34亿元（2021-12-31）, 过蓓蓓, 2016-12-29, 汇添富基金, , 中证中药指数  , 0.16%
1.1924, -2.15%, 1.1924, 指数型-股票, 高风险， 3.42亿元（2021-12-31）, 过蓓蓓, 2016-12-29, 汇添富基金, , 中证中药指数  , 0.16%
1.0412, 2.41%, 1.8969, 指数型-股票, 高风险， 7.10亿元（2021-12-31）, 谢东旭, 2013-02-06, 国泰基金, , 国证房地产行业指数  , 0.15%
4.0090, 1.62%, 4.0090, 股票型, 高风险， 46.93亿元（2021-12-31）, 杜洋, 2015-02-16, 工银瑞信基金, , 工银瑞信基金, ：
1.3360, 2.47%, 1.3360, 指数型-股票, 高风险， 1.46亿元（2021-12-31）, 贾腾, 2019-10-30, 浙商基金, , 中华交易服务预期高股息指数  , 0.82%
3.9870, 1.63%, 3.9870, 股票型, 高风险， 1.13亿元（2021-12-31）, 杜洋, 2021-02-05, 工银瑞信基金, , 基金评级, 暂无评级
1.3250, 2.47%, 1.3250, 指数型-股票, 高风险， 0.19亿元（2021-12-31）, 贾腾, 2019-10-30, 浙商基金, , 中华交易服务预期高股息指数  , 0.82%
0.8637, 2.19%, 1.4737, 指数型-股票, 高风险， 6.27亿元（2021-12-31）, 王岩, 2014-11-27, 招商基金, , 沪深300地产等权重指数  , 0.21%
0.8633, 2.18%, 0.8633, 指数型-股票, 高风险， 1.47亿元（2021-12-31）, 王岩, 2021-08-12, 招商基金, , 沪深300地产等权重指数  , 0.21%
1.6336, 2.04%, 1.9652, 股票型, 高风险， 3.17亿元（2021-12-31）, 袁玮, 2015-08-07, 安信基金, , 安信基金, ：
