序号,所在小区,网站链接,总价,建筑时间,区域,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,供暖方式,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
1,三城花苑 ,https://cs.lianjia.com/ershoufang/104108766824.html,未知年建/板塔结合,天心,65.8万,5254元/平米,3室2厅1厨2卫,中楼层 (共14层),125.26㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯一户,暂无数据,2022-06-02,商品房,2018-07-02,普通住宅,暂无数据,非共有,有抵押 40万元 40万 金融公司垫资,已上传房本照片
2,永祺西京 ,https://cs.lianjia.com/ershoufang/104108755657.html,2012年建/板塔结合,岳麓,300万,16820元/平米,4室2厅1厨2卫,高楼层 (共33层),178.36㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,2022-05-31,商品房,2011-03-01,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片,1154836910420353
3,泰禹家园1期 ,https://cs.lianjia.com/ershoufang/104108765941.html,2005年建/板塔结合,雨花,99.8万,9233元/平米,2室2厅1厨2卫,中楼层 (共17层),108.1㎡,平层,91.08㎡,板塔结合,南,钢混结构,精装,两梯两户,有,2022-06-02,商品房,2009-01-23,普通住宅,满五年,非共有,无抵押,已上传房本照片,1067828500420519
4,君悦香邸 ,https://cs.lianjia.com/ershoufang/104108716568.html,2007年建/板塔结合,开福,159.6万,12873元/平米,4室2厅1厨2卫,高楼层 (共33层),123.99㎡,平层,101.81㎡,板塔结合,东南 西北,钢混结构,精装,两梯六户,有,2022-05-24,商品房,2011-12-12,普通住宅,满五年,非共有,无抵押,已上传房本照片,1153422050412682
5,融科三万英尺 ,https://cs.lianjia.com/ershoufang/104108740637.html,2006年建/板塔结合,雨花,325万,17668元/平米,5室2厅1厨2卫,高楼层 (共30层),183.95㎡,平层,153.23㎡,板塔结合,东南,钢混结构,精装,两梯三户,有,2022-05-28,商品房,2009-04-14,普通住宅,满五年,非共有,有抵押 30万元 业主自还,已上传房本照片,1154362830420413
6,花样年华 ,https://cs.lianjia.com/ershoufang/104108735996.html,2013年建/板塔结合,长沙县,102万,8068元/平米,4室2厅1厨2卫,高楼层 (共31层),126.44㎡,平层,暂无数据,板塔结合,南 北,钢混结构,其他,两梯四户,有,2022-05-27,商品房,2015-09-21,普通住宅,满五年,非共有,有抵押 业主自还,已上传房本照片
7,梅溪湖壹号 ,https://cs.lianjia.com/ershoufang/104108754033.html,未知年建/板塔结合,岳麓,195万,17579元/平米,3室2厅1厨2卫,高楼层 (共26层),110.93㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯五户,有,2022-05-31,商品房,2020-03-05,普通住宅,暂无数据,非共有,有抵押 50万元 业主自还,已上传房本照片,1154620970450778
8,钱隆樽品 ,https://cs.lianjia.com/ershoufang/104108757659.html,2014年建/板塔结合,天心,162.8万,11634元/平米,3室2厅1厨2卫,高楼层 (共26层),139.94㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,2022-05-31,商品房,2011-06-02,普通住宅,满五年,非共有,无抵押,已上传房本照片,1133983670470433
9,佳美紫郡 ,https://cs.lianjia.com/ershoufang/104108756540.html,未知年建/板塔结合,长沙县,92.8万,8217元/平米,3室2厅1厨2卫,中楼层 (共29层),112.95㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯三户,暂无数据,2022-05-31,商品房,2018-07-12,普通住宅,暂无数据,共有,有抵押 20万元,已上传房本照片
10,星城世家 ,https://cs.lianjia.com/ershoufang/104108755269.html,2007年建/板楼,雨花,276万,14373元/平米,5室2厅1厨2卫,高楼层 (共9层),192.04㎡,复式,165.86㎡,板楼,南,钢混结构,精装,一梯两户,有,2022-05-31,商品房,2016-01-25,普通住宅,满五年,非共有,有抵押 50万元 50 业主自还,已上传房本照片,1106509750400453
